"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"IQD1";"SQD1";"PR1";"DIS1";"PI1";"CP1";"HAB1";"AA1";"IQD2";"PR2";"DIS2";"PI2";"CP2";"HAB2";"AA2";"SN1";"IQD3";"SQD2";"PR3";"PI3";"CP3";"HAB3";"AA3";"SN2";"AT1";"IQD4";"SQD3";"PR4";"DIS3";"CP4";"HAB4";"AA4";"SN3";"AT2";"SI1";"SI2";"SI3";"BI1";"BI2";"BI3";"A201";"A202_01";"A203";"A203_01";"A203_02";"A203_03";"A203_04";"A203_05";"A203_06";"A203_07";"A203_08";"A203_09";"A203_10";"A203_11";"A203_11a";"A204";"A204_11";"A205";"A206";"A207";"A208";"AAI1";"AAI2";"AAI3";"AAI4";"AAI5";"AAI6";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME_SUM";"MAILSENT";"LASTDATA";"STATUS";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
149;;;"base";"interview";2026-06-26 12:32:15;3;3;7;6;3;6;7;7;3;2;3;2;6;6;6;2;2;3;3;2;6;6;6;2;6;3;2;3;2;7;7;6;2;1;4;4;2;6;5;4;1;23;3;2;1;1;1;1;1;2;1;1;2;1;;10;;5;4;5;1;4;4;3;5;2;3;8;38;72;69;67;149;11;33;212;29;510;;2026-06-26 12:43:43;"complete";1;0;10;10;0;0;1,12
150;;;"base";"interview";2026-06-26 12:50:34;2;2;7;2;5;4;5;6;1;6;3;4;5;5;6;2;2;6;5;5;5;5;6;2;6;5;2;4;3;5;6;6;2;1;4;4;2;6;6;6;2;22;3;2;1;1;1;1;1;1;1;2;2;1;;10;;4;2;3;3;4;4;5;4;4;4;4;17;58;66;39;62;14;44;23;67;394;;2026-06-26 12:57:10;"complete";1;0;10;10;0;0;1,44
155;;;"base";"interview";2026-06-26 13:14:37;2;2;4;1;3;7;7;7;2;2;2;5;5;7;7;1;1;2;2;5;7;7;6;1;6;4;2;2;1;7;7;4;1;1;1;1;1;5;5;5;1;16;4;2;2;1;1;2;2;1;1;1;1;1;;2;;5;3;4;3;7;7;7;7;5;7;22;22;78;73;88;100;12;55;49;53;552;;2026-06-26 13:23:50;"complete";1;0;10;10;0;0;0,92
156;;;"base";"interview";2026-06-26 13:17:08;2;2;6;7;3;4;6;2;3;4;3;4;6;7;3;2;2;1;2;5;7;6;2;1;6;2;2;4;4;6;7;1;1;1;2;1;1;2;2;2;1;21;5;2;2;2;1;2;1;1;1;1;2;1;;2;;5;3;5;3;6;7;4;6;5;6;22;17;167;192;95;96;13;41;40;36;500;;2026-06-26 13:29:07;"complete";1;0;10;10;0;0;0,91
158;;;"base";"interview";2026-06-26 13:31:14;4;3;6;3;3;6;4;5;3;4;3;1;4;2;6;3;3;1;3;3;6;5;6;2;6;3;6;3;2;4;6;2;1;1;3;2;1;5;5;6;1;22;4;2;2;1;1;2;2;1;1;1;1;1;;2;;4;1;3;3;4;3;6;4;3;3;7;14;67;74;59;60;16;65;24;41;427;;2026-06-26 13:38:22;"complete";1;0;10;10;0;0;1,3
160;;;"base";"interview";2026-06-26 14:01:39;4;4;4;4;5;4;7;5;4;4;4;3;4;5;4;4;3;3;3;3;5;5;5;3;6;4;3;3;4;5;5;4;3;1;4;4;3;5;5;5;1;22;2;2;1;2;1;1;1;1;1;1;1;1;;1;;4;4;5;3;7;7;7;7;7;7;5;28;88;35;86;58;51;17;28;25;390;;2026-06-26 14:08:41;"complete";1;0;10;10;0;0;1,47
162;;;"base";"interview";2026-06-26 14:05:25;4;2;7;3;2;6;6;7;2;4;2;1;6;5;7;1;3;1;7;1;4;5;7;1;6;2;2;6;1;4;7;7;1;1;3;3;1;6;6;6;1;24;3;2;1;1;1;2;1;2;1;1;1;1;;1;;5;5;2;1;5;6;6;6;4;5;12;10;108;104;77;126;18;55;34;56;600;;2026-06-26 14:15:25;"complete";1;0;10;10;0;0;1,02
163;;;"base";"interview";2026-06-26 14:06:07;5;3;6;5;5;5;6;4;4;6;3;5;5;5;4;3;4;5;5;5;5;6;4;4;6;5;6;5;5;5;5;5;3;1;4;4;4;5;6;6;1;60;4;2;1;2;1;2;1;1;1;1;1;2;"Findus";11;"Findus";3;2;3;2;5;5;5;5;5;5;27;49;104;134;122;130;25;65;40;33;702;;2026-06-26 14:18:16;"complete";1;0;10;10;0;0;0,71
164;;;"base";"interview";2026-06-26 14:12:30;3;4;6;2;4;5;7;7;2;3;3;1;4;4;5;1;4;2;3;1;4;7;7;2;6;4;6;4;2;5;4;6;1;1;5;6;4;5;5;5;1;22;5;2;2;2;2;2;1;1;1;1;1;1;;5;;5;3;5;3;5;5;5;5;4;4;4;18;40;44;42;40;10;19;33;20;270;;2026-06-26 14:17:00;"complete";1;0;10;10;0;0;1,88
165;;;"base";"interview";2026-06-26 14:16:08;3;2;6;2;5;5;4;7;2;5;3;5;5;5;5;3;2;3;4;6;6;5;3;3;6;3;2;3;2;6;6;2;3;1;3;2;1;5;5;5;1;23;5;2;2;2;1;2;1;1;1;1;2;1;;10;;5;3;5;2;5;6;6;6;5;4;18;24;72;124;101;269;21;144;32;64;571;;2026-06-26 14:30:37;"complete";1;0;10;10;0;0;0,75
167;;;"base";"interview";2026-06-26 14:39:52;6;2;6;3;3;3;5;6;3;6;4;3;2;3;5;3;6;5;6;3;5;3;6;3;6;3;3;5;3;5;6;5;2;1;5;4;4;5;5;6;1;22;6;2;1;2;2;2;1;1;1;2;2;1;;1;;5;5;5;2;6;6;6;5;4;3;19;16;68;56;150;143;33;90;55;46;676;;2026-06-26 14:51:09;"complete";1;0;10;10;0;0;0,82
174;;;"base";"interview";2026-06-26 15:22:50;3;4;3;3;3;2;7;6;5;3;6;3;3;6;6;3;4;3;3;3;4;7;5;3;6;5;6;3;2;4;4;3;2;1;5;5;4;5;6;5;1;22;2;2;1;1;1;1;1;1;1;1;2;1;;10;;5;3;5;3;5;5;4;4;4;3;12;15;67;67;77;77;27;52;33;68;495;;2026-06-26 15:31:06;"complete";1;0;10;10;0;0;1,02
176;;;"base";"interview";2026-06-26 15:38:50;2;4;5;5;6;2;5;6;3;5;3;6;3;4;6;3;4;5;5;6;5;3;5;3;6;4;4;5;3;5;5;6;2;1;5;4;3;4;3;3;1;24;9;2;2;2;2;2;2;2;1;2;2;1;;2;;5;2;5;1;5;6;7;7;5;5;9;34;85;93;83;71;17;49;50;39;530;;2026-06-26 15:47:40;"complete";1;0;10;10;0;0;1
177;;;"base";"interview";2026-06-26 15:38:57;3;2;7;2;5;6;6;5;3;5;2;4;6;6;6;2;4;2;5;3;6;6;4;2;6;3;4;4;1;6;7;3;1;1;2;2;1;4;3;3;1;22;3;2;2;1;1;2;1;1;1;1;1;1;;2;;5;2;3;3;5;6;5;4;4;5;8;107;151;69;81;77;14;46;27;43;538;;2026-06-26 15:49:23;"complete";1;0;10;10;0;0;1,04
180;;;"base";"interview";2026-06-26 16:33:11;7;1;4;4;4;6;6;7;1;3;4;6;7;5;7;1;1;3;4;4;6;5;7;1;6;5;1;4;1;6;7;7;1;1;7;7;5;6;6;6;1;21;5;2;2;2;1;2;1;1;1;1;2;1;;10;;4;3;3;1;5;5;4;4;5;5;38;22;72;62;74;65;15;48;37;105;476;;2026-06-26 16:42:09;"complete";1;0;10;10;0;0;0,93
182;;;"base";"interview";2026-06-26 17:05:25;3;3;6;2;6;6;6;5;3;4;3;6;6;7;4;4;3;2;4;6;6;7;3;2;6;4;3;4;2;6;5;3;3;1;3;4;2;6;5;5;1;22;7;2;2;2;2;2;1;1;1;2;2;1;;2;;5;3;5;3;5;6;5;4;5;6;20;15;65;86;94;84;30;30;34;33;491;;2026-06-26 17:13:38;"complete";1;0;10;10;0;0;1,04
184;;;"base";"interview";2026-06-26 17:39:22;2;4;7;1;6;7;3;6;2;6;2;7;7;3;6;1;2;1;6;7;7;3;5;1;6;2;2;6;2;7;7;4;1;1;5;3;2;7;7;7;1;22;7;2;2;1;2;2;1;1;2;2;1;2;"Kimi (Moonshot AI)";2;;5;1;5;3;2;4;5;2;5;5;30;81;134;127;160;124;31;46;29;69;772;;2026-06-26 17:53:15;"complete";1;0;10;10;0;0;0,64
185;;;"base";"interview";2026-06-26 17:54:17;3;3;3;2;7;6;7;3;2;2;2;2;6;5;3;2;2;2;3;6;6;6;3;2;6;3;3;3;1;6;6;3;2;1;2;2;1;6;6;5;1;22;5;2;2;2;1;2;1;1;1;1;2;1;;2;;4;2;5;1;7;6;6;5;6;5;10;24;107;101;12350;67;28;40;43;41;543;;2026-06-26 21:27:50;"complete";1;0;10;10;0;0;0,87
186;;;"base";"interview";2026-06-26 17:55:10;3;3;7;3;2;5;5;4;3;7;5;2;6;6;4;1;2;3;7;2;6;6;4;2;6;2;3;7;2;6;6;4;2;1;3;2;1;5;5;5;2;50;2;1;1;1;1;2;1;1;1;1;1;2;"Rufus (Amazon)";5;;2;2;3;1;4;5;4;4;4;5;26;113;216;223;135;107;32;201;81;280;583;;2026-06-26 18:18:46;"complete";1;0;10;10;0;0;0,42
187;;;"base";"interview";2026-06-26 17:56:59;3;2;2;1;6;5;6;4;2;4;2;4;6;5;2;5;3;5;3;6;6;6;6;6;6;5;4;5;1;6;5;2;5;1;4;3;2;2;2;2;1;24;6;2;2;1;2;2;1;1;1;2;2;1;;2;;5;3;5;2;6;6;6;4;4;5;8;14;39;32;31;35;16;21;26;24;246;;2026-06-26 18:01:06;"complete";1;0;10;10;0;0;1,88
188;;;"base";"interview";2026-06-26 18:12:39;6;5;6;3;3;3;5;6;3;3;3;3;6;6;6;6;5;2;3;3;6;5;6;6;6;5;3;3;2;6;6;2;4;1;6;6;5;6;6;6;1;23;5;2;2;2;1;2;1;1;1;2;1;1;;5;;5;2;3;3;5;7;6;3;5;6;8;15;65;52;67;65;17;33;29;37;388;;2026-06-26 18:19:08;"complete";1;0;10;10;0;0;1,32
190;;;"base";"interview";2026-06-26 18:51:01;3;3;5;4;7;2;7;6;4;2;4;5;3;6;5;2;4;5;1;5;3;7;7;2;6;6;6;5;4;2;5;3;1;1;5;5;5;7;7;7;2;20;4;2;1;1;1;2;1;1;1;2;2;1;;1;;4;4;5;3;4;4;4;2;6;4;20;23;80;63;88;71;16;40;23;105;467;;2026-06-26 18:59:50;"complete";1;0;10;10;0;0;1
191;;;"base";"interview";2026-06-26 18:51:42;3;5;4;2;3;5;7;4;2;3;3;3;6;6;5;3;2;6;3;3;6;6;3;3;6;2;2;3;2;6;6;2;3;1;2;2;2;6;6;6;2;21;3;2;1;1;1;2;1;1;1;2;1;1;;5;;5;3;4;3;5;6;5;5;6;6;35;29;100;121;103;54;17;43;40;44;586;;2026-06-26 19:01:29;"complete";1;0;10;10;0;0;0,87
192;;;"base";"interview";2026-06-26 18:54:12;5;3;5;2;3;2;6;6;3;5;2;4;5;5;4;2;3;3;5;2;2;6;4;3;6;3;5;4;2;3;6;4;2;1;3;2;1;2;2;2;1;22;2;2;1;1;1;2;1;1;1;1;1;1;;1;;3;3;5;1;5;4;3;5;3;4;48;22;111;72;85;84;28;103;54;79;686;;2026-06-26 19:05:38;"complete";1;0;10;10;0;0;0,71
193;;;"base";"interview";2026-06-26 19:08:37;4;5;6;3;5;3;6;7;3;6;3;2;3;4;6;5;4;3;6;3;5;5;6;5;6;5;5;6;2;5;6;5;3;1;6;5;3;5;5;5;1;23;3;2;1;1;1;2;1;1;1;2;1;1;;1;;5;5;5;3;5;5;6;6;5;5;47;113;259;210;155;201;22;45;45;76;623;;2026-06-26 19:28:10;"complete";1;0;10;10;0;0;0,53
195;;;"base";"interview";2026-06-26 19:42:06;2;3;3;2;6;2;6;5;2;3;2;2;6;6;6;2;2;3;2;7;7;6;2;2;6;2;2;2;2;6;7;2;2;1;6;2;2;2;4;6;1;19;5;2;2;2;1;2;2;1;1;1;1;1;;5;;5;3;2;3;3;7;6;5;5;5;72;50;181;154;1305;342;98;97;58;93;600;;2026-06-26 20:22:58;"complete";1;0;10;10;0;0;0,35
198;;;"base";"interview";2026-06-26 19:45:49;2;6;6;6;6;5;6;7;2;6;3;7;5;5;6;1;2;2;6;6;6;5;5;1;6;4;2;6;1;6;5;6;2;1;5;6;4;5;5;5;1;22;5;2;2;2;1;1;2;1;1;1;2;1;;2;;5;3;5;1;4;7;6;6;3;6;6;139;57;82;82;118;21;37;33;43;501;;2026-06-26 19:56:07;"complete";1;0;10;10;0;0;1,08
200;;;"base";"interview";2026-06-26 19:50:11;3;2;2;2;2;6;5;7;3;2;3;1;6;7;7;5;3;3;2;2;6;6;7;6;6;6;4;2;2;6;7;7;5;1;6;4;4;4;4;4;1;21;2;2;1;2;1;1;1;1;1;1;1;1;;1;;4;4;3;3;5;6;6;4;4;6;82;23;103;79;96;73;28;36;33;33;521;;2026-06-26 20:00:00;"complete";1;0;10;10;0;0;0,88
204;;;"base";"interview";2026-06-26 20:15:21;4;2;6;2;4;4;7;5;2;4;2;2;6;7;6;5;3;6;4;3;6;7;6;5;6;3;4;4;2;6;6;6;2;1;3;3;1;5;5;5;1;52;4;2;1;2;1;1;1;2;1;1;2;1;;1;;4;4;3;1;7;5;4;6;5;6;50;26;67;58;78;61;18;61;34;42;495;;2026-06-26 20:23:36;"complete";1;0;10;10;0;0;0,95
206;;;"base";"interview";2026-06-26 20:40:12;5;3;3;3;2;5;6;6;5;3;4;5;5;5;6;2;3;3;3;3;5;5;5;2;6;3;2;3;2;5;6;5;1;1;3;3;2;3;3;3;1;22;4;2;1;1;1;1;2;1;2;1;1;2;"OpenEvidence";1;;5;5;3;3;6;6;5;5;4;4;23;34;65;67;52;50;27;69;38;42;467;;2026-06-26 20:47:59;"complete";1;0;10;10;0;0;0,98
208;;;"base";"interview";2026-06-26 21:02:19;3;4;6;2;5;5;7;5;2;4;4;5;6;6;5;5;3;3;3;5;5;6;4;5;6;5;6;3;1;5;4;5;3;1;3;3;3;5;5;5;1;27;4;2;2;2;1;2;1;1;1;1;1;1;;1;;5;5;5;1;4;5;6;4;4;5;33;19;41;90;83;130;169;29;23;69;537;;2026-06-26 21:13:45;"complete";1;0;10;10;0;0;0,94
212;;;"base";"interview";2026-06-26 21:03:15;2;2;6;2;6;5;7;6;2;4;2;5;6;6;6;2;2;2;4;6;5;7;5;2;6;4;3;3;1;6;6;3;2;1;4;5;3;5;4;3;1;22;7;2;2;2;2;2;1;1;1;2;2;1;;5;;5;3;5;1;4;5;6;7;3;5;24;23;55;58;70;67;23;37;38;41;436;;2026-06-26 21:10:31;"complete";1;0;10;10;0;0;1,04
214;;;"base";"interview";2026-06-26 22:02:49;3;5;5;5;6;5;7;6;5;3;4;6;6;7;6;3;2;2;3;5;5;7;6;3;6;3;3;3;2;6;7;5;3;1;5;5;3;6;6;6;1;21;6;2;2;2;1;2;1;2;1;2;1;1;;1;;5;5;3;3;5;6;5;5;4;5;19;27;35;37;101;49;18;30;22;49;387;;2026-06-26 22:09:16;"complete";1;0;10;10;0;0;1,29
215;;;"base";"interview";2026-06-26 22:03:17;6;2;6;3;7;5;6;7;2;3;1;6;6;6;7;6;2;2;3;7;6;6;7;5;6;3;2;3;1;5;4;6;3;1;5;5;4;6;6;6;1;22;6;2;2;2;1;2;1;1;1;2;2;1;;1;;5;5;5;3;5;7;7;5;6;7;3;25;128;108;105;228;48;111;37;200;612;;2026-06-26 22:19:51;"complete";1;0;10;10;0;0;0,81
216;;;"base";"interview";2026-06-26 23:03:20;4;3;7;3;3;3;6;5;4;5;3;5;5;5;4;4;3;4;6;3;5;6;4;4;6;4;4;5;3;5;6;5;4;1;4;4;3;4;4;4;2;57;2;2;1;2;1;1;1;1;1;1;1;1;;3;;4;4;3;2;6;6;6;5;5;5;75;81;335;117;212;296;36;282;92;173;536;;2026-06-26 23:31:40;"complete";1;0;10;10;0;0;0,33
219;;;"base";"interview";2026-06-26 23:22:03;1;1;1;6;1;2;1;1;1;1;1;4;1;1;1;1;1;2;5;2;6;1;2;2;6;2;2;5;2;6;6;2;1;1;1;1;1;4;2;2;1;61;2;1;1;1;1;1;1;1;2;1;2;1;;11;"Lumo";4;3;5;2;1;1;2;3;1;1;20;29;48;30;60;57;11;31;27;37;350;;2026-06-26 23:27:53;"complete";1;0;10;10;0;0;1,37
230;;;"base";"interview";2026-06-27 11:07:49;2;5;7;2;6;7;7;6;1;5;2;7;7;5;5;1;2;1;6;7;7;6;3;1;6;2;3;6;1;7;6;1;1;1;2;2;1;7;7;6;1;23;7;2;2;2;1;2;1;1;2;2;2;1;;2;;5;1;5;3;5;6;7;7;5;6;65;37;135;159;150;118;89;51;66;170;675;;2026-06-27 11:25:12;"complete";1;0;10;10;0;0;0,48
233;;;"base";"interview";2026-06-27 11:31:58;6;3;6;5;3;5;7;6;5;6;5;2;5;7;6;4;4;5;6;2;5;6;6;4;6;5;4;6;3;5;6;5;4;1;3;3;2;5;5;5;2;26;4;2;2;2;1;2;1;1;1;1;1;1;;1;;4;4;3;3;4;5;5;5;1;5;4;14;49;54;64;79;17;44;30;32;387;;2026-06-27 11:38:27;"complete";1;0;10;10;0;0;1,41
234;;;"base";"interview";2026-06-27 11:32:22;5;4;6;3;2;4;2;6;3;6;2;3;6;6;6;2;2;3;6;4;2;4;3;2;6;5;2;6;1;5;3;4;2;1;3;3;3;5;5;5;1;23;5;2;2;2;1;2;1;2;1;1;1;1;;1;;3;3;2;1;4;5;4;6;4;5;17;19;88;56;69;68;13;23;39;79;471;;2026-06-27 11:40:14;"complete";1;0;10;10;0;0;1,13
236;;;"base";"interview";2026-06-27 11:35:02;3;2;6;2;5;6;6;5;2;3;2;6;6;6;6;2;3;6;3;2;5;6;6;3;6;6;2;3;2;6;6;5;2;1;2;3;2;6;6;6;2;23;2;2;1;2;1;1;1;1;1;1;1;1;;1;;5;5;4;2;5;6;6;5;3;5;5;25;61;51;65;60;21;29;40;35;392;;2026-06-27 11:41:34;"complete";1;0;10;10;0;0;1,34
237;;;"base";"interview";2026-06-27 11:59:41;5;3;7;3;1;3;6;4;4;5;3;1;5;5;4;2;3;3;4;3;5;5;5;3;6;4;3;5;2;4;7;4;2;1;5;6;4;5;5;5;2;23;3;2;1;1;1;2;1;1;1;2;1;1;;1;;4;3;3;3;4;4;5;5;4;4;16;22;93;76;91;103;20;40;38;43;542;;2026-06-27 12:08:46;"complete";1;0;10;10;0;0;0,93
238;;;"base";"interview";2026-06-27 11:59:54;4;3;4;7;4;5;5;7;4;6;3;6;5;6;6;4;5;6;6;5;6;5;5;7;6;5;4;5;4;6;5;5;5;1;5;5;4;3;4;5;1;24;1;2;1;1;1;1;1;1;1;1;1;1;;1;;5;4;4;2;6;6;7;5;6;5;4;9;64;71;48;40;8;11;32;27;314;;2026-06-27 12:05:11;"complete";1;0;10;10;0;0;1,92
239;;;"base";"interview";2026-06-27 12:56:42;2;5;7;2;4;7;7;7;2;2;2;4;6;3;7;3;2;4;6;5;6;7;5;2;6;2;4;5;1;6;6;6;2;1;5;5;4;6;6;6;1;19;3;2;2;1;1;2;1;1;1;1;1;1;;2;;5;2;3;1;5;7;6;6;4;6;17;21;91;74;87;68;15;43;32;39;487;;2026-06-27 13:04:50;"complete";1;0;10;10;0;0;1,03
240;;;"base";"interview";2026-06-27 13:12:39;5;4;5;3;6;4;6;6;4;3;3;4;5;6;6;3;5;2;4;4;5;6;6;2;6;5;5;3;3;4;6;5;2;1;5;2;1;5;4;5;1;23;3;2;1;1;1;2;1;1;1;1;2;1;;1;;5;5;2;1;5;5;6;6;5;5;29;22;87;101;137;130;40;79;45;119;713;;2026-06-27 13:25:48;"complete";1;0;10;10;0;0;0,64
241;;;"base";"interview";2026-06-27 14:11:09;3;3;6;3;4;5;6;4;3;4;4;2;2;5;4;3;3;5;6;4;5;6;5;3;6;3;4;4;2;4;4;6;2;1;4;4;4;5;5;5;2;22;2;2;1;1;1;2;1;1;1;1;1;1;;1;;1;4;4;3;4;4;7;4;4;5;3;26;71;92;74;70;15;38;40;44;473;;2026-06-27 14:19:02;"complete";1;0;10;10;0;0;1,2
243;;;"base";"interview";2026-06-27 15:13:33;3;2;4;2;3;5;6;3;2;3;3;3;6;6;5;2;3;3;5;5;5;6;4;2;6;5;4;3;2;5;5;4;2;1;3;3;3;5;5;5;1;23;2;2;1;2;1;1;1;1;1;1;1;1;;1;;4;3;5;3;6;6;6;6;6;5;4;17;74;79;83;50;21;46;44;48;466;;2026-06-27 15:21:21;"complete";1;0;10;10;0;0;1,21
248;;;"base";"interview";2026-06-27 17:24:37;5;1;6;5;2;3;6;6;2;3;2;2;4;6;6;2;4;3;3;2;5;6;6;2;6;5;4;3;1;5;6;5;2;1;2;3;2;2;2;2;2;20;3;2;1;1;1;2;1;1;1;2;1;1;;1;;4;4;4;3;5;5;3;4;4;5;63;18;70;80;113;211;15;74;32;60;550;;2026-06-27 17:36:53;"complete";1;0;10;10;0;0;0,81
249;;;"base";"interview";2026-06-27 17:25:13;6;7;6;3;2;5;5;7;5;6;5;2;5;6;7;5;2;2;3;2;5;6;6;5;6;2;4;5;2;5;6;4;2;1;6;5;3;5;5;6;1;23;2;2;1;1;1;2;1;1;1;1;1;1;;1;;5;5;3;3;3;4;4;4;3;5;40;12;57;326;278;60;30;27;26;35;439;;2026-06-27 17:40:04;"complete";1;0;10;10;0;0;1
250;;;"base";"interview";2026-06-27 17:25:57;2;2;6;3;4;5;7;4;1;5;5;4;6;6;6;3;2;2;5;5;6;6;4;2;6;3;3;5;1;6;6;5;2;1;2;2;1;6;5;5;2;20;4;2;1;2;1;2;1;1;1;2;1;1;;3;;5;2;5;3;5;4;4;3;4;5;5;16;58;66;48;136;39;55;35;40;498;;2026-06-27 17:34:15;"complete";1;0;10;10;0;0;1,22
251;;;"base";"interview";2026-06-27 18:14:08;4;2;6;1;1;7;6;4;3;5;3;2;7;6;7;2;4;1;6;1;6;6;7;2;6;5;3;5;2;6;7;4;1;1;4;3;2;3;4;4;2;26;1;2;1;1;1;1;1;1;1;1;1;1;;1;;2;3;3;1;6;5;6;4;4;5;61;28;114;90;78;64;23;99;42;43;642;;2026-06-27 18:24:51;"complete";1;0;10;10;0;0;0,77
